customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_00000,Male,1,No,Yes,28,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,60.22087018868579,3264.5771127158787,No
ID_00001,Female,1,No,Yes,67,Yes,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,77.90493491130748,1574.342085509634,No
ID_00002,Male,1,No,No,16,No,No,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer,81.54782987323318,567.5668777115466,Yes
ID_00003,Male,1,Yes,Yes,4,Yes,No,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,92.00343941862947,6398.30777910714,No
ID_00004,Male,1,Yes,Yes,49,Yes,No,No internet service,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,115.73531893733465,4601.599585058901,No
ID_00005,Female,1,Yes,Yes,39,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,103.85373691675773,4003.454122452218,No
ID_00006,Male,0,No,Yes,45,No,No,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card,105.15872322770012,1790.5018446643169,Yes
ID_00007,Male,0,No,No,50,No,DSL,Yes,Yes,No internet service,No,No,No,One year,No,Bank transfer,75.75120271964323,4464.126321535933,No
ID_00008,Male,1,Yes,No,10,No,DSL,No internet service,No,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer,34.41735041897295,3273.0002899213423,Yes
ID_00009,Female,0,No,No,11,No,No,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,83.54920212480462,4098.887413146242,Yes
ID_00010,Male,0,Yes,No,12,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,60.6258306695569,817.2507365516684,No
ID_00011,Male,1,Yes,No,63,No,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,23.184081027155926,7390.180867255765,Yes
ID_00012,Male,0,Yes,No,7,Yes,No,Yes,Yes,No,No internet service,No internet service,No,Two year,No,Electronic check,39.48537173343511,6136.9850391578375,No
ID_00013,Male,1,Yes,No,64,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,95.90743862836372,5955.419698960167,No
ID_00014,Female,1,No,Yes,8,Yes,DSL,No internet service,No,No internet service,Yes,No,No,One year,No,Electronic check,83.10051876392316,4696.049812342049,Yes
ID_00015,Male,1,Yes,No,1,No,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card,117.84315377541174,1898.4770397518114,No
ID_00016,Female,1,Yes,No,12,Yes,No,No internet service,Yes,No internet service,No,Yes,No internet service,One year,No,Electronic check,112.34456379471807,918.3425610939936,No
ID_00017,Female,1,Yes,No,1,Yes,No,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,79.42593991682911,2955.063002337246,No
ID_00018,Female,0,Yes,No,67,No,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,35.494145352854716,3361.1526716048566,No
ID_00019,Male,1,Yes,Yes,47,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,53.63457757212033,6112.132390625912,No
ID_00020,Female,0,Yes,No,2,Yes,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,43.30106936836499,1270.231584621729,No
ID_00021,Male,1,Yes,No,67,Yes,DSL,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,67.05162856135561,6553.040553069223,No
ID_00022,Female,1,No,Yes,5,No,No,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,No,Mailed check,100.05734368168663,3598.8441101796748,No
ID_00023,Female,1,No,No,4,No,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer,102.18483988866579,6419.667591879515,No
ID_00024,Female,0,No,No,2,Yes,No,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,37.806571852271645,4008.2892936702647,No
ID_00025,Female,1,No,No,9,Yes,No,No,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,74.9087675965198,507.14850650833444,No
ID_00026,Female,1,Yes,No,42,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Electronic check,87.67326420815164,4903.798303955928,Yes
ID_00027,Female,1,No,No,18,No,No,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.66316128010373,3474.8735529141986,No
ID_00028,Female,1,No,No,13,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,One year,No,Bank transfer,110.54366101839301,3728.4951099217997,No
ID_00029,Female,0,No,No,20,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Credit card,55.901907986364435,6282.441900378199,No
ID_00030,Male,1,Yes,Yes,42,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,Two year,No,Credit card,69.01347975780448,1858.3387198847822,No
ID_00031,Male,0,No,Yes,27,No,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,78.6835822167559,302.62450600743927,No
ID_00032,Female,1,No,No,20,Yes,DSL,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,62.73525157313328,2360.6029175104036,Yes
ID_00033,Female,0,Yes,Yes,35,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,116.36351224966839,1325.3720971656871,No
ID_00034,Female,0,No,No,23,Yes,No,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,96.04653511877707,2816.1417263248322,No
ID_00035,Male,1,Yes,Yes,53,No,No,Yes,Yes,No,No,No,No internet service,One year,Yes,Credit card,102.908356951261,1743.3635470729857,Yes
ID_00036,Female,1,No,No,37,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,One year,No,Mailed check,95.26302580059935,866.5403549454992,No
ID_00037,Male,0,Yes,Yes,16,No,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card,78.81067362172294,6637.821061517118,No
ID_00038,Male,1,No,No,21,Yes,No,No internet service,Yes,No,No,No internet service,No,One year,Yes,Electronic check,22.81640983268937,1754.5574969636912,Yes
ID_00039,Male,1,No,Yes,44,Yes,DSL,No,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card,96.47433785470312,2974.082777665565,Yes
ID_00040,Male,1,No,Yes,60,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,81.26941995656786,114.8013881350023,No
ID_00041,Male,0,Yes,No,10,Yes,DSL,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer,28.073264291530634,6196.457438078895,Yes
ID_00042,Female,1,No,No,60,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,31.85817313020605,3759.896111994381,No
ID_00043,Female,1,Yes,Yes,37,No,No,No,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,68.11932268134206,6930.950711554848,No
ID_00044,Female,1,Yes,Yes,65,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,105.28384584160533,517.3460408015815,Yes
ID_00045,Female,0,Yes,No,32,Yes,No,No internet service,Yes,Yes,No internet service,No,Yes,One year,Yes,Mailed check,75.37482131833092,1394.1250358656694,No
ID_00046,Female,1,Yes,Yes,42,No,DSL,Yes,No internet service,No,No,No internet service,Yes,Two year,No,Bank transfer,111.96157660823783,2135.7799824099993,No
ID_00047,Male,0,No,No,30,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,101.56525944742805,7116.453152409463,No
ID_00048,Female,1,No,Yes,34,No,No,No,No,No,Yes,Yes,No internet service,Two year,No,Credit card,83.07836303248865,2896.923555148572,Yes
ID_00049,Female,0,No,Yes,36,Yes,DSL,Yes,Yes,No,No,No,No internet service,One year,Yes,Credit card,51.33620959184531,1576.4841297896687,No
ID_00050,Male,1,Yes,No,46,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,105.27337448300698,6431.590455089227,Yes
ID_00051,Female,1,No,No,22,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,85.9193293793299,2488.357156578751,Yes
ID_00052,Male,0,Yes,No,35,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,75.27653436476709,2862.061057315828,No
ID_00053,Female,0,Yes,Yes,39,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,No,Electronic check,70.06233574015751,5271.482966753169,No
ID_00054,Male,0,Yes,Yes,14,No,No,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,41.28121560387149,3132.1531628945213,No
ID_00055,Female,1,No,Yes,36,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,21.57386864642849,230.106469981096,No
ID_00056,Female,1,No,No,3,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,91.650699070863,7914.331289075824,Yes
ID_00057,Male,1,Yes,Yes,21,Yes,DSL,Yes,Yes,No internet service,Yes,No,Yes,One year,Yes,Credit card,111.96105907031453,1985.3899545385716,Yes
ID_00058,Male,1,No,Yes,21,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,No,Electronic check,38.36622386207053,2030.46760128259,No
ID_00059,Male,0,No,No,16,No,No,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,No,Mailed check,113.47236536316684,1158.1190362773775,No
ID_00060,Male,1,Yes,Yes,71,No,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Two year,No,Credit card,27.191182589527866,1347.9271193973525,No
ID_00061,Male,1,Yes,Yes,37,No,No,No,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card,75.24651665744179,4065.574006462202,Yes
ID_00062,Male,1,No,No,23,No,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Mailed check,31.555910958370607,7523.960167439473,No
ID_00063,Male,1,Yes,No,5,No,No,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,108.91044575877164,5607.883561018268,No
ID_00064,Male,1,Yes,No,67,No,No,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Mailed check,30.324018988496885,5294.869811626385,No
ID_00065,Female,1,No,No,5,Yes,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Credit card,45.10546206391465,2955.7271069751237,No
ID_00066,Female,1,No,No,25,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,100.593402714518,6523.521930556166,No
ID_00067,Male,0,Yes,No,40,No,No,No,No,No,Yes,No,No internet service,Month-to-month,No,Credit card,88.8486732988657,3839.490590961533,No
ID_00068,Female,1,No,No,37,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,58.81278404383745,3714.414254192623,No
ID_00069,Female,1,Yes,No,42,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,103.67691511733996,7956.625009622214,No
ID_00070,Female,1,Yes,No,52,No,No,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer,83.56999441483904,4910.667483188902,Yes
ID_00071,Female,1,No,Yes,14,No,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,45.97774797905804,6958.631809106937,No
ID_00072,Male,0,Yes,No,55,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,Two year,Yes,Credit card,94.02693664726426,4244.098812892699,No
ID_00073,Female,0,Yes,No,55,Yes,No,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,53.305971898922834,1377.662854234671,No
ID_00074,Male,0,Yes,Yes,30,No,DSL,No internet service,No,Yes,No internet service,No,No,One year,No,Electronic check,101.57384359919858,7899.353808389399,No
